Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Cook Islands,9,9,9,12,14,14,13,15,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,"1,251","1,369","1,573","1,943","2,118","2,492","3,065","3,904","4,477","5,127","4,836","2,626","2,609","3,150","3,664","3,926","4,408","4,537","4,618","5,230","5,716","7,238","8,578","9,586","10,473","11,545","11,640","12,568","13,634","14,211","14,965","15,930","16,525","17,220","18,562","19,994","22,659","26,856","30,844","30,826","37,634","42,717","46,984","50,326","51,260","55,475","57,810","58,654","59,006","60,459","63,460","66,627","70,167","73,993","78,275"
Côte d'Ivoire,"1,501","1,597","1,872","2,540","3,070","3,894","4,662","6,265","7,901","9,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,"12,247","12,968","17,349","22,388","23,601","23,974","25,346","23,374","21,774","23,289","26,878","34,659","41,574","45,416","50,436","60,081","70,452","62,636","59,665","62,237","56,486","57,770","57,080","48,676","51,350","55,201","60,688","61,252","64,590","67,700","70,937","74,145","77,197"
Cuba,"5,693","6,915","8,135","9,988","11,406","13,027","13,790","14,206","17,845","19,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,"5,693","6,915","8,135","9,988","11,406","13,027","13,790","14,206","17,845","19,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,569,666,810,986,873,728,842,"1,073","1,404","1,840","2,314","2,242","2,319","2,321","2,447","2,611","3,317","3,979","4,589","4,901","6,003","6,195","7,424","7,098","8,004","9,937","10,016","9,545","10,256","10,502","9,988","10,396","11,421","14,552","17,328","18,713","20,422","24,083","27,972","26,009","25,608","27,454","25,026","24,064","23,345","19,570","20,055","22,186","24,492","24,638","26,348","27,955","29,684","31,403","33,220"
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,"59,519","66,797","61,602","66,347","64,719","61,474","67,376","81,684","99,322","118,971","135,990","155,213","188,614","235,513","205,852","207,016","227,948","207,376","209,402","207,818","186,830","195,305","215,914","242,052","246,161","259,736","272,480","286,068","299,653","314,658"
Czechoslovakia,"16,294","17,039","19,527","23,074","24,754","27,300","26,914","38,583","42,501","45,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"16,591","18,515","22,591","29,962","33,347","39,594","43,676","48,855","59,296","69,161","71,140","61,893","60,423","60,650","59,115","62,682","88,103","109,433","115,568","112,436","138,258","139,265","152,961","143,210","156,181","185,042","187,644","173,558","177,005","177,961","164,188","164,820","178,648","218,139","251,370","264,489","282,895","319,424","353,359","321,243","321,995","344,003","327,149","343,584","352,297","301,308","306,900","329,866","350,874","349,524","364,546","379,881","398,040","418,237","439,867"
Djibouti,66,75,90,112,141,157,187,201,221,264,,,,,,,,,,,,462,478,466,492,498,494,503,514,541,556,577,596,628,666,709,769,848,984,"1,015","1,099","1,239","1,354","1,455","1,588","1,727","1,889","2,029","2,187","2,392","2,599","2,824","3,068","3,333","3,622"
Dominica,23,26,28,32,38,40,39,44,54,53,73,82,90,99,109,119,135,152,171,185,201,220,234,246,264,275,292,303,322,332,333,340,333,343,367,364,390,421,458,489,494,501,486,508,528,517,581,553,494,542,590,627,664,688,712
Dominican Republic,"1,832","2,055","2,451","2,892","3,609","4,439","4,874","5,658","5,839","6,782","9,267","10,363","9,768","10,110","15,890","6,942","8,432","8,874","8,127","9,179","8,544","10,565","12,328","13,878","15,501","17,537","19,399","20,954","22,650","23,213","25,665","26,638","28,302","22,585","23,411","36,183","38,337","44,067","48,206","48,319","53,893","58,023","60,703","62,061","65,322","68,197","71,673","76,091","80,940","84,837","90,459","96,568","103,224","110,475","118,234"
Ecuador,"1,762","1,686","1,973","2,620","3,906","4,536","5,596","7,005","8,056","9,851","16,840","17,243","17,214","15,129","16,101","18,830","13,816","12,910","12,277","12,049","12,236","13,730","15,012","17,537","21,147","22,968","24,035","27,009","27,474","19,740","18,319","24,468","28,549","32,433","36,592","41,507","46,802","51,008","61,763","62,520","69,555","79,277","87,925","95,130","102,292","100,177","98,614","104,296","107,511","106,289","107,730","110,571","114,783","118,502","122,025"
Egypt,"8,143","8,629","9,227","9,589","11,334","12,678","14,974","19,136","23,432","15,616","23,523","25,760","30,479","37,254","41,888","48,841","54,076","77,359","92,530","115,362","96,087","48,431","44,168","49,526","54,550","63,260","71,114","79,770","89,188","95,039","104,752","102,273","90,261","85,163","82,855","94,127","112,902","137,055","170,797","198,316","230,024","247,726","278,769","288,007","305,567","332,075","332,484","236,528","249,559","299,589","331,360","345,230","360,552","377,043","402,647"
El Salvador,338,356,379,438,519,589,751,943,"1,012","1,132","3,899","3,437","3,394","3,250","2,377","2,311","2,327","2,366","2,762","3,157","4,801","5,311","5,955","6,938","8,086","9,501","10,316","11,135","12,008","12,465","13,134","13,813","14,307","15,047","15,798","17,094","18,551","20,105","21,431","20,661","21,418","23,139","23,814","24,351","25,054","25,850","26,798","24,928","26,057","26,989","28,202","29,394","30,657","31,922","33,225"
Equatorial Guinea,20,21,20,26,27,34,35,39,44,50,35,33,39,44,49,81,100,122,132,116,147,145,177,178,132,186,305,580,486,814,"1,371","1,915","2,368","3,256","5,781","9,064","10,087","13,072","19,750","15,028","16,299","21,329","22,390","21,943","21,504","13,819","10,178","12,287","13,734","12,432","12,263","12,038","11,899","12,022","12,611"
